state_name,annual,fall,spring,summer,winter,max_warming_season
Alabama,-0.0350476190476194,-0.1956684303350948,-0.1058624338624375,-0.325008818342153,0.4585255731922332,Winter
Arizona,1.3198800705467393,1.2039506172839518,1.3844797178130517,1.2744550264550332,1.3883880070546777,Winter
Arkansas,0.2140740740740683,-0.0425396825396835,0.2663985890652509,0.0585961199294444,0.5322469135802471,Winter
California,1.480560846560853,1.570920634920639,1.449241622574948,1.4783350970017712,1.412430335097001,Fall
Colorado,1.4385890652557287,1.0553086419753035,1.4369100529100522,1.3678447971781258,1.8387583774250376,Winter
Connecticut,1.801492063492066,1.453093474426808,1.543407407407407,1.5806278659611994,2.6339753086419733,Winter
Delaware,1.6616825396825403,1.378948853615516,1.537848324514988,1.5228783068782967,2.201001763668426,Winter
Florida,1.0348783068783085,1.0765855379188682,0.8607971781305128,0.9144550264550224,1.3002328042328009,Winter
Georgia,0.384049382716051,0.2512169312169284,0.1744620811287439,-0.0160564373897666,1.1093615520282212,Winter
Idaho,1.046917107583773,0.6866313932980552,1.0048677248677225,1.0727195767195778,1.4099047619047584,Winter
Illinois,0.8144197530864254,0.5573051146384498,1.153298059964733,0.2174814814814782,1.30874074074074,Winter
Indiana,0.7126102292768943,0.5009664902998183,1.044839506172836,0.018074074074086,1.2805643738977033,Winter
Iowa,0.6472839506172755,0.3639788359788347,0.7738977072310425,0.0617142857142876,1.4116966490299827,Winter
Kansas,0.8594991181657884,0.3554991181657859,0.9980388007054664,0.4918518518518525,1.5539611992945277,Winter
Kentucky,0.3200917107583831,0.0282892416225696,0.5423633156966543,-0.1957530864197704,0.8768395061728332,Winter
Louisiana,0.2443421516754917,0.2227160493827169,0.147428571428565,0.1986031746031705,0.353876543209873,Winter
Maine,1.744620811287477,1.463238095238098,1.308373897707231,1.427569664902988,2.88275132275132,Winter
Maryland,1.3532592592592572,1.0938412698412696,1.2385467372133998,1.180303350970025,1.8783209876543183,Winter
Massachusetts,1.7006525573192215,1.4422998236331568,1.3507442680775943,1.5946102292768989,2.43516049382716,Winter
Michigan,1.5768994708994757,1.1497142857142884,1.6929947089947115,1.0505255731922454,2.4637883597883605,Winter
Minnesota,1.5551887125220427,1.1486419753086428,1.4445573192239796,0.9072592592592535,2.7165855379188706,Winter
Mississippi,0.0119259259259169,-0.1257283950617263,-0.0107231040564379,-0.2066596119929446,0.3392028218694943,Winter
Missouri,0.4909947089947188,0.0143492063492088,0.7265185185185178,0.0140952380952511,1.2007336860670144,Winter
Montana,1.4211252204585525,0.8818624338624327,1.465058201058202,1.064183421516755,2.260924162257495,Winter
Nebraska,0.9896014109347452,0.5411075837742422,1.069954144620818,0.5089805996472738,1.8102857142857167,Winter
Nevada,1.2989559082892397,1.1345608465608394,1.2055308641975353,1.353015873015879,1.4613051146384444,Winter
New Hampshire,1.622430335096999,1.3314285714285707,1.333615520282185,1.296790123456795,2.579851851851853,Winter
New Jersey,1.9772768959435687,1.6557319223985936,1.759266313932981,1.738723104056443,2.7489382716049398,Winter
New Mexico,1.1593298059964772,0.9859470899470872,1.131640211640217,1.1085714285714343,1.370483245149911,Winter
New York,1.2042045855379218,0.9725855379188664,1.0793086419753055,0.7041834215167508,2.096084656084657,Winter
North Carolina,0.622179894179892,0.3914074074074113,0.5179541446208061,0.3922680776014036,1.1622574955908325,Winter
North Dakota,1.654430335097001,1.1155837742504413,1.3311746031745937,1.0004091710758476,3.145932980599648,Winter
Ohio,0.8253156966490305,0.6297707231040619,1.0419611992945326,0.2531358024691342,1.3810229276895911,Winter
Oklahoma,0.3584021164021158,-0.0812557319224014,0.4210370370370452,0.0799435626102311,0.944070546737208,Winter
Oregon,1.5006490299823665,1.3015731922398606,1.2407054673721372,1.6132204585537957,1.819386243386244,Winter
Pennsylvania,0.9679858906525556,0.7441128747795401,0.852303350970015,0.5339964726631388,1.7283809523809492,Winter
Rhode Island,2.0388677248677185,1.6487336860670132,1.7481058201058173,2.114864197530865,2.680028218694884,Winter
South Carolina,0.5454744268077641,0.3144973544973546,0.438137566137553,0.2906243386243329,1.1094320987654336,Winter
South Dakota,1.2520776014109387,0.7646419753086519,1.0544197530864214,0.8266948853615459,2.3151463844797133,Winter
Tennessee,0.2429876543209923,0.0198800705467334,0.2545044091710657,-0.0174250440916995,0.7037601410934745,Winter
Texas,0.7523703703703724,0.5726419753086477,0.8846701940035309,0.357220458553785,1.1412627865961191,Winter
Utah,1.5802292768959425,1.357488536155207,1.3802186948853568,1.7027583774250357,1.819442680776012,Winter
Vermont,1.5465573192239883,1.288437389770724,1.3273932980599603,1.0453333333333277,2.5948924162257505,Winter
Virginia,0.7800458553791804,0.5206490299823593,0.7243174603174696,0.4934744268077508,1.3440705467372192,Winter
Washington,1.0427724867724937,0.7666031746031823,0.724388007054683,1.1533262786596072,1.558631393298057,Winter
West Virginia,0.4981164021164036,0.3477954144620833,0.5441128747795392,0.1045784832451602,0.980543209876538,Winter
Wisconsin,1.1576543209876564,0.7719647266313938,1.0944902998236303,0.479661375661375,2.317940035273369,Winter
Wyoming,1.5087548500881889,1.0642257495590857,1.6177495590828916,1.2560564373897696,2.034271604938268,Winter
